ZIP,UtilityName,State,CommercialKwhRate,IndustrialKwhRate,ResidentialKwhRate
1001,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1002,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1003,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1004,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1005,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1007,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1008,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1009,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1010,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1012,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1026,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1027,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1028,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1029,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1030,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1031,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1032,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1033,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1034,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1035,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1036,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1037,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1038,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1039,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1050,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1053,Massachusetts Electric Co,MA,0.134146917,0.123324397,0.134916962
1054,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
1056,Western Massachusetts Elec Co,MA,0.142065062,0.121061049,0.146917564
